,City,Cloudiness (%),Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
279,Kavieng,75,PG,1583987666,73,-2.57,150.8,302.29,4.35
280,Utraula,0,IN,1583987667,34,27.32,82.42,302.78,3.16
281,Kaitangata,49,NZ,1583987669,79,-46.28,169.85,285.82,7.5
282,Hwange,81,ZW,1583987670,76,-18.37,26.5,296.39,1.13
283,The Pas,90,CA,1583987671,92,53.83,-101.25,269.15,3.1
284,Conde,40,BR,1583987673,94,-7.26,-34.91,299.15,0.5
285,Makakilo City,90,US,1583987674,78,21.35,-158.09,299.15,4.1
286,Killarney,65,IE,1583987675,77,52.05,-9.52,276.18,7.81
287,Deputatsky,0,RU,1583987676,89,69.3,139.9,243.47,0.77
288,St. George's,20,GD,1583987677,74,12.06,-61.75,299.15,5.1
289,The Valley,40,AI,1583987680,73,18.22,-63.06,298.15,5.1
290,Fort Nelson,90,CA,1583987681,71,58.81,-122.7,260.15,5.1
291,Saint-Joseph,79,RE,1583987682,94,-21.37,55.62,301.15,7.7
292,Bilibino,100,RU,1583987683,95,68.05,166.44,256.11,2.93
293,Vanimo,100,PG,1583987684,77,-2.67,141.3,301.45,5.22
294,Wagga Wagga,60,AU,1583987685,36,-35.12,147.37,299.26,5.1
295,Esperance,100,AU,1583987686,68,-33.87,121.9,295.15,5.7
296,Seoul,40,KR,1583987426,32,37.57,126.98,285.15,1.5
297,Gravdal,75,NO,1583987688,87,68.12,13.5,273.15,10.3
298,San Jose,1,US,1583987556,62,37.34,-121.89,288.71,2.6
299,Hong Kong,40,HK,1583987694,69,22.29,114.16,299.82,5.1
300,Kuching,40,MY,1583987395,79,1.55,110.33,304.15,2.1
301,Taoudenni,3,ML,1583987696,18,22.68,-3.98,287.62,2.49
302,Gao,81,ML,1583987697,11,16.64,1.64,294.06,9.68
303,Marabu,75,MY,1583987433,84,4.41,114.01,303.71,2.1
304,Jamame,98,SO,1583987699,78,0.07,42.75,300.94,9.28
305,Pisco,96,PE,1583987701,78,-13.7,-76.22,297.15,1.5
306,Te Anau,14,NZ,1583987703,73,-45.42,167.72,286.32,1.82
307,Millinocket,90,US,1583987493,49,45.66,-68.71,272.04,5.1
308,Chicama,40,PE,1583987706,78,-7.84,-79.15,297.15,3.1
309,Muravlenko,100,RU,1583987707,99,63.79,74.52,273.24,5.13
310,Haines Junction,47,CA,1583987708,88,60.75,-137.51,250.11,2.17
311,Dalbandin,0,PK,1583987709,26,28.89,64.41,285.45,0.76
312,Mar del Plata,83,AR,1583987710,88,-38.0,-57.56,293.15,4.1
313,Norman Wells,75,CA,1583987711,76,65.28,-126.83,251.15,6.7
314,La Ronge,90,CA,1583987712,79,55.1,-105.28,267.15,6.7
315,Burgeo,41,CA,1583987448,73,47.62,-57.62,268.17,4.55
316,São Filipe,0,CV,1583987715,64,14.9,-24.5,296.28,2.81
317,Wagar,17,SD,1583987716,43,16.15,36.2,302.59,5.24
318,Orocué,99,CO,1583987718,45,4.79,-71.34,301.02,1.06
319,Hofn,100,IS,1583987719,64,64.25,-15.21,274.68,15.0
320,Gerāsh,11,IR,1583987720,43,27.67,54.14,284.15,0.63
321,Ayan,0,RU,1583987523,68,56.45,138.17,259.25,5.36
322,San Juan,7,AR,1583987722,55,-31.54,-68.54,299.66,5.37
323,Juneau,90,US,1583987703,79,58.3,-134.42,270.15,1.5
324,Flinders,40,AU,1583987724,53,-34.58,150.86,298.15,6.7
325,Dharmavaram,1,IN,1583987726,31,14.43,77.72,304.99,2.31
326,Nara,0,JP,1583987727,30,34.69,135.8,287.04,2.1
327,Mezhova,80,UA,1583987728,73,48.25,36.73,282.25,8.57
328,Morón,57,AR,1583987644,100,-34.65,-58.62,294.15,1.0
329,Skjervøy,100,NO,1583987730,78,70.03,20.97,269.93,2.22
330,Pevek,100,RU,1583987731,95,69.7,170.31,257.07,2.94
331,Birao,18,CF,1583987732,10,10.28,22.79,298.87,1.75
332,Javānrūd,3,IR,1583987733,29,34.8,46.52,283.51,0.97
333,Laas,39,IT,1583987734,59,46.62,10.7,277.59,1.5
334,Rey Bouba,83,CM,1583987735,12,8.67,14.18,297.33,1.19
335,Saýat,0,TM,1583987737,42,38.78,63.88,282.15,0.66
336,Havøysund,75,NO,1583987738,92,71.0,24.66,269.15,1.5
337,Belém,75,BR,1583987739,94,-1.46,-48.5,298.15,2.6
338,Santiago de Cao,40,PE,1583987740,78,-7.96,-79.24,297.15,3.1
339,Howard Springs,20,AU,1583987741,62,-12.5,131.05,306.48,5.1
340,Olhão,75,PT,1583987742,93,37.03,-7.84,288.15,1.5
341,Saint-Augustin,98,CA,1583987743,96,51.23,-58.65,261.24,1.23
342,Vila Velha,90,BR,1583987744,88,-20.33,-40.29,297.15,2.47
343,Lagoa,41,PT,1583987745,73,39.05,-27.98,287.44,4.73
344,Acapulco de Juárez,5,MX,1583987746,83,16.86,-99.89,300.15,2.6
345,Rozsypne,100,UA,1583987747,81,48.15,38.58,281.6,4.69
346,Nioro,0,GM,1583987749,15,13.35,-15.75,295.17,1.77
347,Kroya,22,ID,1583987750,56,-7.63,109.25,306.33,3.38
348,Terråk,100,NO,1583987751,80,65.09,12.37,277.15,5.7
349,Kwekwe,44,ZW,1583987752,73,-18.93,29.81,294.82,2.63
350,Srīvardhan,0,IN,1583987754,52,18.03,73.02,299.55,4.84
351,Turukhansk,100,RU,1583987755,88,65.82,87.98,259.48,4.22
352,Camocim,100,BR,1583987756,97,-2.9,-40.84,295.64,1.53
353,Burnie,67,AU,1583987757,84,-41.07,145.92,293.71,3.58
354,Thurso,43,GB,1583987758,86,58.59,-3.53,275.15,9.8
355,Grindavik,100,IS,1583987759,68,63.84,-22.43,272.15,10.3
356,Riyadh,14,SA,1583987659,38,24.69,46.72,289.15,1.0
357,Srednekolymsk,100,RU,1583987762,93,67.45,153.68,247.53,7.68
358,Bendigo,69,AU,1583987763,29,-36.77,144.28,302.04,0.89
359,Sakaiminato,20,JP,1583987764,41,35.55,133.23,287.15,2.6
360,São Joaquim,28,BR,1583987765,98,-28.29,-49.93,286.87,1.12
361,Asău,10,RO,1583987766,93,46.43,26.4,277.59,0.5
362,Dickinson,90,US,1583987637,94,29.46,-95.05,294.26,3.6
363,Florø,100,NO,1583987768,86,61.6,5.03,276.15,10.8
364,Agüimes,18,ES,1583987769,42,27.91,-15.45,292.15,3.1
365,Makat,54,KZ,1583987771,29,47.65,53.35,284.42,5.59
366,Makkah al Mukarramah,0,SA,1583987635,46,21.43,39.83,300.21,1.84
367,Geraldton,0,AU,1583987773,57,-28.77,114.6,300.15,6.2
368,Kadoma,20,JP,1583987774,35,34.73,135.58,288.15,2.6
369,Tuatapere,38,NZ,1583987775,74,-46.13,167.68,288.15,4.47
370,Talcahuano,20,CL,1583987776,100,-36.72,-73.12,286.15,2.6
371,West Wendover,1,US,1583987777,56,40.74,-114.07,280.15,2.27
372,Likasi,100,CD,1583987778,90,-10.98,26.73,292.33,0.81
373,Syracuse,0,IT,1583987779,93,37.09,15.28,282.59,2.1
374,‘Āhuimanu,90,US,1583987782,65,21.44,-157.84,299.15,3.6
375,Ol'ga,41,RU,1583987783,82,43.74,135.29,274.43,7.7
376,Codrington,84,AU,1583987784,62,-38.27,141.97,293.73,4.99
377,Mae Sai,6,TH,1583987785,54,20.43,99.88,299.15,2.6
378,Long Xuyen,40,VN,1583987786,62,10.38,105.42,305.15,4.6
379,Lavrentiya,94,RU,1583987787,91,65.58,-171.0,257.86,0.95
380,Kirovskiy,96,RU,1583987788,84,45.09,133.51,275.05,6.26
381,Miraflores,5,MX,1583987789,28,19.22,-98.81,293.15,2.1
382,Aksarayskiy,61,RU,1583987791,93,46.79,48.01,276.15,3.0
383,Kiunga,62,PG,1583987792,63,-6.12,141.29,303.5,1.51
384,Mīnāb,0,IR,1583987793,59,27.15,57.08,291.15,3.1
385,Karakol,25,KG,1583987794,55,42.49,78.39,272.83,1.49
386,Cheremisinovo,90,RU,1583987795,93,51.89,37.26,277.15,8.0
387,Shizunai-furukawachō,84,JP,1583987796,77,42.33,142.37,273.8,4.19
388,Mariehamn,90,AX,1583987797,86,60.1,19.93,277.15,5.7
389,Wanning,1,CN,1583987798,77,18.8,110.4,299.76,5.87
390,Pirapora,15,BR,1583987799,96,-17.34,-44.94,292.96,0.75
391,Constitución,7,CL,1583987800,80,-35.33,-72.42,285.62,1.15
392,Kulu,87,TR,1583987801,48,39.1,33.08,283.46,4.3
393,Yulara,3,AU,1583987803,10,-25.24,130.99,310.15,8.2
394,Lahaina,90,US,1583987798,78,20.88,-156.68,295.15,2.6
395,Quang Ngai,0,VN,1583987806,79,15.12,108.8,298.96,8.08
396,Mackenzie,90,CA,1583987579,74,55.3,-123.17,271.15,2.1
397,Hamilton,90,US,1583987510,81,39.18,-84.53,282.15,0.85
398,San Quintín,100,MX,1583987810,86,30.48,-115.95,290.0,2.97
399,Port Augusta,90,AU,1583987811,27,-32.5,137.77,306.48,5.7
400,Hanzhong,3,CN,1583987812,32,33.07,107.03,293.18,0.63
401,Rio Grande,100,BR,1583987813,93,-32.03,-52.1,295.37,7.77
402,Jesús Carranza,1,MX,1583987815,97,17.43,-95.03,291.42,0.59
403,Reni,15,UA,1583987816,80,45.46,28.29,277.15,1.0
404,Plaster Rock,90,CA,1583987817,78,46.91,-67.39,266.15,4.1
405,Lūnāvāda,0,IN,1583987818,22,23.13,73.62,298.19,4.21
406,Whitehorse,5,CA,1583987656,44,60.72,-135.05,255.15,3.1
407,Khandyga,100,RU,1583987820,94,62.67,135.6,252.22,2.76
408,Jega,30,NG,1583987821,15,12.22,4.38,297.15,8.1
409,Warrington,20,GB,1583987822,58,53.39,-2.58,278.15,11.3
410,Cabedelo,40,BR,1583987823,94,-6.98,-34.83,299.15,0.5
411,San Cristobal,75,VE,1583987812,83,7.77,-72.22,299.15,2.1
412,Sioux Lookout,90,CA,1583987733,96,50.1,-91.92,273.15,2.6
413,Ilhabela,0,BR,1583987757,77,-23.78,-45.36,297.08,5.08
414,Harper,87,LR,1583987828,95,4.38,-7.72,298.41,1.36
415,Kholmogory,90,RU,1583987829,100,64.22,41.66,274.15,2.0
416,Tiarei,40,PF,1583987830,74,-17.53,-149.33,302.15,4.1
417,Santa Cruz de La Palma,20,ES,1583987832,82,28.68,-17.76,293.15,3.6
418,Cherskiy,100,RU,1583987833,96,68.75,161.3,256.87,6.28
419,Javorník,61,CZ,1583987834,68,50.39,17.0,284.26,1.79
420,Ossora,100,RU,1583987835,92,59.24,163.07,275.07,11.8
421,San Patricio,85,MX,1583987837,81,19.22,-104.7,297.22,1.53
422,Pārīchha,0,IN,1583987838,21,25.52,78.75,302.59,2.06
423,Airai,88,TL,1583987839,88,-8.93,125.41,297.83,1.04
424,Benghazi,14,LY,1583987840,67,32.12,20.07,287.38,9.2
425,Nuuk,79,GL,1583987624,72,64.18,-51.72,265.15,7.2
426,Meïganga,77,CM,1583987843,27,6.52,14.3,290.57,1.09
427,Sittingbourne,20,GB,1583987844,45,51.34,0.73,280.93,11.3
428,Oussouye,0,SN,1583987845,78,12.48,-16.55,296.15,1.0
429,Lethem,86,GY,1583987846,64,3.38,-59.8,299.35,6.39
430,Yumen,100,CN,1583987847,34,40.28,97.2,274.24,1.29
431,Touros,40,BR,1583987849,94,-5.2,-35.46,298.15,1.0
432,Carnarvon,1,AU,1583987850,62,-24.87,113.63,304.15,7.2
433,Colares,51,PT,1583987851,87,38.8,-9.45,289.82,2.6
434,Nkhotakota,93,MW,1583987852,77,-12.93,34.3,299.31,5.69
435,Saiha,0,IN,1583987854,22,22.48,92.97,304.5,2.92
436,Nacogdoches,1,US,1583987855,82,31.6,-94.63,293.71,4.6
437,Teahupoo,40,PF,1583987856,74,-17.83,-149.27,302.15,4.1
438,Waddān,25,LY,1583987631,89,29.16,16.14,283.14,4.75
439,Aksay,75,RU,1583987858,87,47.26,39.87,282.59,9.0
440,Necochea,24,AR,1583987860,91,-38.55,-58.74,291.48,3.13
441,Ayagoz,0,KZ,1583987861,72,47.97,80.44,267.64,2.75
442,Babócsa,0,HU,1583987862,80,46.04,17.34,282.07,1.1
443,Strathmore,75,CA,1583987863,58,51.05,-113.39,272.04,6.2
444,Loralai,100,PK,1583987864,69,30.37,68.6,278.45,10.19
445,Samarai,95,PG,1583987865,78,-10.62,150.67,301.32,3.38
446,Paamiut,99,GL,1583987867,89,61.99,-49.67,263.88,1.82
447,Murray Bridge,84,AU,1583987868,37,-35.12,139.27,304.82,3.58
448,San Borja,76,BO,1583987869,78,-14.82,-66.85,296.87,0.89
449,Biograd na Moru,0,HR,1583987870,93,43.94,15.45,278.71,1.0
450,Vila Franca do Campo,40,PT,1583987872,87,37.72,-25.43,288.15,4.6
451,Adrar,0,MR,1583987873,10,20.5,-10.07,290.68,4.11
452,Palmer,75,US,1583987874,41,42.16,-72.33,279.15,2.6
453,Dori,52,BF,1583987875,4,14.04,-0.03,296.6,4.53
454,Cucutilla,75,CO,1583987876,83,7.54,-72.77,299.15,2.1
455,Peniche,90,PT,1583987877,93,39.36,-9.38,287.59,2.1
456,Sola,75,VU,1583987879,79,-13.88,167.55,304.15,3.45
457,Aripuanã,90,BR,1583987880,98,-9.17,-60.63,296.27,0.58
458,Cocal,2,BR,1583987881,93,-28.62,-49.35,290.69,1.52
459,Songjianghe,100,CN,1583987882,92,42.19,127.48,270.3,5.25
460,Canas,38,CR,1583987886,65,10.43,-85.09,300.15,9.3
461,North Port,75,US,1583987887,93,27.04,-82.24,295.15,2.13
462,Shingū,0,JP,1583987888,47,33.73,135.98,286.15,5.1
463,Tai’an,0,CN,1583987889,30,36.19,117.12,294.26,0.45
464,Iralaya,0,HN,1583987890,79,15.0,-83.23,298.91,7.07
465,Ulvik,96,NO,1583987891,98,60.57,6.92,263.35,0.94
466,Moctezuma,100,MX,1583987892,67,29.8,-109.67,290.3,3.08
467,Larsnes,100,NO,1583987893,100,62.2,5.58,277.59,8.2
468,Caborca,100,MX,1583987894,84,30.58,-111.1,292.59,0.45
469,Katobu,99,ID,1583987896,79,-4.94,122.53,302.5,0.52
470,Bucksport,75,US,1583987897,60,44.57,-68.8,274.82,3.1
471,Mindelo,20,CV,1583987898,68,16.89,-24.98,294.15,6.7
472,Żurrieq,0,MT,1583987899,87,35.83,14.47,285.93,4.1
473,Kieta,100,PG,1583987900,71,-6.22,155.63,300.62,4.47
474,Haapiti,40,PF,1583987901,74,-17.57,-149.87,302.15,4.1
475,Bath,75,GB,1583987903,65,51.38,-2.36,279.26,7.7
476,Bogandé,86,BF,1583987904,4,12.97,-0.14,298.61,4.78
477,Batagay,29,RU,1583987905,85,67.63,134.63,250.84,1.01
478,Cuamba,72,MZ,1583987907,90,-14.8,36.54,296.9,0.93
479,Sokolovo,97,RU,1583987908,75,52.53,84.79,269.46,2.02
480,Gal'bshtadt,8,RU,1583987909,88,53.23,78.98,268.31,4.14
481,Kunyang,100,CN,1583987911,94,27.67,120.57,284.2,1.65
482,Sabang,23,ID,1583987912,73,5.89,95.32,301.71,4.59
483,Kandrian,100,PG,1583987913,84,-6.22,149.55,299.02,5.08
484,Lázaro Cárdenas,6,MX,1583987914,86,17.96,-102.2,295.18,1.14
485,Celestún,0,MX,1583987915,83,20.87,-90.4,296.75,7.18
486,Praia,0,CV,1583987916,22,14.92,-23.51,298.15,5.7
487,Tofield,75,CA,1583987917,68,53.37,-112.67,271.15,3.1
488,Inhambane,20,MZ,1583987919,88,-23.86,35.38,295.15,3.32
489,Egvekinot,100,RU,1583987920,98,66.32,-179.17,253.64,1.82
490,Matadi,95,CD,1583987921,94,-5.82,13.45,296.82,0.72
491,Ganzhou,100,CN,1583987922,90,28.82,115.43,285.47,0.48
492,Waipawa,83,NZ,1583987923,55,-41.41,175.52,289.82,8.2
493,Siljan,68,NO,1583987924,100,59.29,9.71,276.48,1.5
494,Ciudad Guayana,0,VE,1583987925,89,8.35,-62.65,295.23,2.51
495,Gazojak,0,TM,1583987926,20,41.19,61.4,285.8,2.25
496,Djenné,89,ML,1583987927,6,13.91,-4.55,296.15,3.82
497,Abhā,10,SA,1583987928,66,18.22,42.51,286.15,1.5
498,KwaDukuza,44,ZA,1583987930,83,-29.33,31.29,296.48,2.1
499,Fredericton,75,CA,1583987753,73,45.95,-66.67,270.15,1.0
500,Vieques,75,PR,1583987932,88,18.43,-65.83,297.04,1.5
501,Chiriquí Grande,28,PA,1583987933,86,8.95,-82.12,296.8,1.6
502,Churapcha,100,RU,1583987934,91,62.0,132.43,250.93,5.46
503,Elko,1,US,1583987640,48,41.0,-115.5,280.37,1.61
504,Chumikan,84,RU,1583987936,72,54.72,135.31,265.73,5.05
505,Posse,100,BR,1583987938,98,-14.09,-46.37,293.59,1.29
506,Cabras,0,IT,1583987939,93,39.93,8.53,281.77,2.22
507,Gornopravdinsk,100,RU,1583987940,98,60.05,69.9,274.8,5.59
508,La Ceiba,75,HN,1583987942,88,15.76,-86.78,297.15,1.0
509,Dilla,100,ET,1583987943,79,6.41,38.31,289.08,3.82
510,Maceió,20,BR,1583987945,94,-9.67,-35.74,298.15,2.1
511,Agadez,7,NE,1583987946,39,19.75,10.25,284.3,4.92
512,Acandí,68,CO,1583987947,99,8.51,-77.28,293.84,1.27
513,Lianhe,43,CN,1583987948,50,47.13,129.27,269.26,7.84
514,Lokosovo,100,RU,1583987949,100,61.13,74.82,274.24,3.6
515,Panguna,100,PG,1583987950,96,-6.32,155.48,293.27,2.09
516,Kolding,75,DK,1583987952,87,55.49,9.47,281.48,12.3
517,Catuday,0,PH,1583987953,71,16.29,119.81,302.67,1.41
518,Canguçu,100,BR,1583987955,93,-31.39,-52.68,295.37,3.04
519,Nioki,100,CD,1583987957,94,-2.72,17.68,296.07,1.49
520,Madimba,20,TZ,1583987958,100,-10.4,40.33,297.15,2.53
521,Severo-Kuril'sk,98,RU,1583987959,91,50.68,156.12,265.02,16.6
522,Maridi,82,SS,1583987960,79,4.92,29.47,297.18,3.36
523,Kharp,100,RU,1583987961,94,66.8,65.81,260.75,1.83
524,Jutaí,93,BR,1583987963,97,-5.18,-68.9,296.16,0.65
525,Dubti,67,ET,1583987964,40,11.74,41.09,298.99,5.43
526,Parksville,5,CA,1583987965,52,49.32,-124.32,279.82,2.6
527,Coahuayana Viejo,40,MX,1583987966,94,18.73,-103.68,294.15,1.36
528,Keti Bandar,0,PK,1583987967,25,24.14,67.45,297.82,6.68
529,Rabak,43,SD,1583987968,10,13.18,32.74,305.16,6.4
530,Biltine,74,TD,1583987969,15,14.53,20.92,291.75,5.35
531,Najrān,47,SA,1583987970,32,17.49,44.13,286.15,1.0
532,Ngunguru,32,NZ,1583987971,68,-35.62,174.5,295.37,5.36
533,Arecibo,90,PR,1583987972,83,18.47,-66.72,297.59,2.1
534,Abu Dhabi,0,AE,1583987708,82,24.47,54.37,293.71,2.1
535,Pathein,0,MM,1583987976,50,16.78,94.73,301.95,3.84
536,Isiro,92,CD,1583987746,94,2.77,27.62,293.67,0.87
537,Port Macquarie,99,AU,1583987978,53,-31.43,152.92,297.15,5.1
538,Poum,0,NC,1583987832,77,-20.23,164.02,301.34,5.9
539,Mizdah,0,LY,1583987980,87,31.45,12.98,279.82,2.82
540,Omsukchan,100,RU,1583987981,95,62.53,155.8,256.75,3.91
541,Chute-aux-Outardes,1,CA,1583987982,65,49.12,-68.4,264.15,2.1
542,Eyrarbakki,94,IS,1583987983,68,63.86,-21.15,271.15,2.6
543,Presidencia Roque Sáenz Peña,0,AR,1583987984,40,-26.79,-60.44,297.75,2.98
544,Otane,49,NZ,1583987985,58,-39.88,176.63,289.82,4.02
545,Gouyave,20,GD,1583987987,74,12.16,-61.73,299.15,5.1
546,Jardim,0,BR,1583987988,69,-21.48,-56.14,295.83,2.13
547,Dvinskoy,100,RU,1583987990,99,62.15,45.12,275.41,2.92
548,Hirara,75,JP,1583987991,68,24.8,125.28,293.15,4.6
549,Itumba,100,TZ,1583987992,92,-9.4,33.18,292.46,1.21
550,Quatre Cocos,75,MU,1583987993,94,-20.21,57.76,301.48,5.68
551,Hoskote,4,IN,1583987995,33,14.28,77.17,303.94,1.1
552,Mažeikiai,87,LT,1583987996,85,56.32,22.33,277.12,5.45
553,Tambacounda,0,SN,1583987997,7,13.75,-13.76,302.15,3.1
554,Oodweyne,52,SO,1583987999,31,9.41,45.06,295.11,4.18
555,Kuril'sk,50,RU,1583988000,65,45.23,147.88,271.04,7.09
556,Nouadhibou,0,MR,1583988001,49,20.93,-17.03,293.15,4.6
557,Khombole,0,SN,1583988002,29,14.77,-16.7,297.15,6.7
558,Bolobo,100,CD,1583988003,87,-2.17,16.23,296.71,0.46
